Samples	input	both_kept	fwd_only	rev_only	dropped	EquCab3.0	canFam6	human_GRch38	phix174	host	nonhost	komplexity
HS52.D0	5413267	5198162	78571	23401	113133	58484	44466	48735	0	116997	4970153	150721
HS52.D10	1458603	1393597	25154	5887	33965	14706	12734	18696	0	35784	1333234	31678
HS52.D3	5958992	5735774	56316	38019	128883	55877	53753	60542	0	130003	5501687	138117
HS52.D30	4356388	4159653	72483	18534	105718	39166	38636	82785	0	125677	3955566	103533
HS52.D90	3835473	3655347	43973	33596	102557	41905	40475	54821	0	105392	3485157	87435
HS55.D0	1820928	1723836	32118	8987	55987	384666	322776	1489691	0	1492297	72238	250529
HS55.D10	8576891	8293745	127000	36332	119814	58177	59560	63054	0	137412	8066744	110849
HS55.D3	1392894	1334854	16270	7515	34255	272570	229099	1072716	0	1076513	129963	200072
HS55.D30	10175639	9781466	110670	43929	239574	88939	85327	97170	0	210459	9482520	113260
Harper.A	10106184	9666791	92590	63318	283485	230026	125856	145402	0	364547	8973723	471870
Harper.D	3289671	3155831	49705	12077	72058	33235	32121	40134	0	76826	2933075	204789
HometownFav.A	9172539	8685109	135965	47948	303517	354485	318437	184569	0	537583	7774442	503118
HometownFav.D	12496664	11943021	111949	95705	345989	203740	157753	177930	0	401750	11226070	431834
Imani.A	14361608	13669032	224316	59887	408373	578834	407404	381199	0	842648	12224458	892930
Imani.D	15456968	14762734	167489	88326	438419	630646	226693	225918	0	784562	13332692	984997
Levi.A	12544999	11962996	163246	61301	357456	531892	257208	227587	0	696409	10769448	724038
Levi.D	8598613	8212240	94596	39636	252141	388424	124593	131907	0	476830	7544953	265012
LilBitoGlory.A	8863527	8501061	144820	21569	196077	193563	95945	98670	0	291695	7978239	329260
LilBitoGlory.D	10210999	9738941	159069	39734	273255	372982	111092	130669	0	464996	9129052	199558
Mari.A	5087186	4868210	61307	18312	139357	228839	193686	203448	0	345370	4378057	204914
Mari.D	412900	405239	3552	2459	1650	66966	17183	15203	0	68435	303020	54472
Maximus.A	6364651	6017984	72545	24432	249690	376903	359779	317640	0	579392	5148074	457596
Maximus.D	10535195	10005361	168233	40196	321405	138363	133935	149007	0	318241	9501955	257925
Miranda.A	8021676	7650281	140718	31069	199608	312710	113258	142210	0	384855	6542222	1087571
Miranda.D	14091238	13360291	235428	56009	439510	267064	176258	197115	0	469956	12456712	636444
Mocha.A	14219183	13538562	191422	60976	428223	11287103	3288018	2965794	0	11324161	1450307	1071418
Mocha.D	15140262	14470421	235946	66916	366979	186942	163115	177743	0	392821	13658871	600444
MondayMorningQ.A	7599429	7270002	120235	41013	168179	110311	103747	93242	0	216189	6695475	516885
MondayMorningQ.D	10202620	9723858	136829	52040	289893	193981	157573	177943	0	365742	8757443	994516
MsMacAndCheese.A	12683600	12135014	144252	79789	324545	310366	182980	221451	0	496200	10736622	1348381
MsMacAndCheese.D	4968338	4705031	78790	19058	165459	348398	258189	268587	0	478936	4081018	204669
Niko.A	16028025	15284928	242343	61011	439743	679698	214932	254726	0	825373	13813018	927152
Niko.D	15216968	14511167	241452	57035	407314	199684	164297	183323	0	411821	13726855	509890
OrashansChynnaDoll.A	4321353	4062752	55897	15927	186777	290815	140027	117399	0	364936	3532287	258574
OrashansChynnaDoll.D	3219512	3087963	34084	20916	76549	120876	112849	105805	0	190486	2777290	170191
