Samples	1	2	3	4	5	6	7	8	9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85-89	90-94	95-99	100-104	105-109	110-114	115-119	120-124	125-129	130-134	135-139	140-144	145-149	150-151	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
Poppi.A_1	36.04576138098471	36.18920260094178	36.287977632805216	36.17528811812542	36.3535509990613	36.45411851466584	36.37496806439181	36.39660867897966	36.37206547244733	36.35927491855519	36.33816994410607	36.29843764509352	36.24226639854388	36.21132608673687	36.189450893626	36.17502330104158	36.15045334617726	36.12214781438097	36.09934395309442	36.10094348363513	36.07767637972442	36.0470304094101	36.0559478155358	36.04534178238691	36.05061564292801	36.03096981577293	36.017849988331044	36.0418285368939	36.03771551757524	36.01450042494137	35.997107150648574	35.98314102223158	35.96494492295236	35.900339127212966	35.92641636366557	35.85323658197224	35.811822167452824	35.994842843176585																																																																		
Poppi.A_2	35.703377740869065	36.16904756348751	36.15752602601712	36.18295266409129	36.20749111937494	36.30355390995289	36.19357850097262	36.22059013154824	36.27902110805374	36.21235363146958	36.17351848849187	36.13893375243757	36.10521153040246	36.076826055222256	36.0452713463194	36.02920502096652	36.00436206886563	35.98466491448651	35.94271085257464	35.922358965732045	35.88971803254925	35.87692403328377	35.844499024548725	35.8178134643681	35.802256988423345	35.76752749828708	35.760945102798765	35.71806370903185	35.71451065430793	35.678117486537644	35.67921156575328	35.647141242055376	35.591533174549795	35.52897910720294	35.513010603709475	35.429776095543765	35.3412246472419	35.63872269484827																																																																		
Imani.A_1	36.026436692810435	36.16187393518429	36.26547995498145	36.15103337237048	36.33187990195648	36.44461129361611	36.3595240687124	36.39217444219898	36.36250496743296	36.3597041253543	36.33884573538199	36.302584235664966	36.252085897523685	36.22602754898811	36.21348929723875	36.19885545599605	36.179767583925	36.14961972489908	36.132718416383774	36.13271366197552	36.11714748071545	36.08607178550931	36.095026572193824	36.08543229224843	36.088587816553726	36.070702111285286	36.05720436044773	36.08123382362847	36.075944538718026	36.05729466087304	36.04045691770508	36.02937903918779	36.01158827133427	35.95432344361279	35.97358069675781	35.90736574050014	35.87313855706184	36.04577884898493																																																																		
Imani.A_2	35.71302839879225	36.059091309465074	36.0490178090153	36.07640628831654	36.098469299069606	36.21645117225565	36.09724434034539	36.134624602532206	36.20076213151012	36.13041813055965	36.09463853768138	36.06021494426233	36.03300011295606	36.00881864933815	35.9856684405021	35.971624110981885	35.95251012203396	35.93420850173571	35.899141703264846	35.880216037949864	35.855449752058355	35.84396543452604	35.81680568115961	35.794616949453626	35.78379003356962	35.753074956867984	35.74493755851881	35.71162863151657	35.7100595610538	35.68292076010084	35.68645930441013	35.661267793835535	35.60282709366619	35.551328722238736	35.531543027966826	35.45908585629867	35.37234812871715	35.672041127451934																																																																		
Miranda.D_1	36.08627124963071	36.22248744432288	36.31515324029993	36.202936672562	36.380384379352215	36.48167109533767	36.3985696868429	36.42630037025391	36.399240780009954	36.396516258515625	36.37719617035288	36.34259446893783	36.29340378888454	36.268210939417415	36.25291878363557	36.23939168676159	36.21851951224679	36.19203203739474	36.17392415134287	36.174231733098	36.15646468496791	36.12900247593008	36.13744473505672	36.12652010023262	36.13153297199302	36.11122594269999	36.100542478709954	36.12182176781012	36.11859157487778	36.0980869794296	36.08336688970677	36.068557819914055	36.05232615237838	35.99305174295172	36.01370713699464	35.94726965444625	35.9126237689543	36.07056837507339																																																																		
Miranda.D_2	35.68399752670058	36.07362451910666	36.05821452541715	36.07147860776386	36.0949665692162	36.21812526388834	36.09337887924747	36.13246919546887	36.186857831165504	36.12434625862566	36.08572482440689	36.05108902193822	36.02022478402604	35.998727318140006	35.970918195245176	35.96020984074248	35.93735040786937	35.92055678148218	35.88046049499891	35.86323729616064	35.83294172085444	35.82406191447031	35.78985919144368	35.768546884441164	35.755733313563795	35.726289908121586	35.7166854509225	35.67871167526311	35.67610355007383	35.64704360105214	35.649187358374	35.62304735761435	35.56344599585114	35.50763665649875	35.491216727425666	35.41303216185182	35.325496607599256	35.632469384659764																																																																		
VincentVanWhoa.D_1	35.46525156624982	34.904578755222296	35.359732534074496	35.29284356475999	35.2538937515153	35.82718581011044	35.735954349483656	35.77207068240354	35.83534401276191	35.78454713155796	35.75814797766667	35.715075422439455	35.6299453613355	35.595053637248455	35.57679362075928	35.55639795774579	35.523618925313826	35.46909511735732	35.442036964975166	35.445754174127714	35.400241828509536	35.35608580151199	35.376260223724245	35.36776517067503	35.37402995843504	35.36452145113306	35.33881302130125	35.408039784817845	35.37586643131781	35.35955065077947	35.326695516705044	35.330519160491484	35.31316421099666	35.23298394047041	35.29269599127048	35.2097484494259	35.17558935652111	35.52302433431874																																																																		
VincentVanWhoa.D_2	35.84297445159295	36.17652540258682	36.15611057038549	36.17739821572258	36.15542890473196	36.28378584454509	36.17561604655003	36.21191579672308	36.2946151927111	36.213063524914176	36.1665916365949	36.13063932508073	36.09775268186242	36.06936531305671	36.03952773081836	36.01820427480302	35.989906959073274	35.96970243778004	35.92565352758728	35.900478227088456	35.87186978858771	35.8588407788694	35.826207701489544	35.79986172463028	35.786679160838744	35.75215406313832	35.746905588605	35.70577270067563	35.70216984034242	35.677297430138495	35.67465410340948	35.647539837702766	35.58238633404558	35.52623918301691	35.50432882594577	35.42263638014878	35.32607041179402	35.61367489544064																																																																		
Mari.A_1	36.06499883940915	36.07322075259695	36.202729545356505	36.09160163591957	36.213377606964364	36.38638555033575	36.30533851251281	36.33156581166384	36.32938184671573	36.30659223821486	36.28333716088665	36.24332910864568	36.1925153187722	36.16453875243673	36.15164507107144	36.13480375368668	36.10678446689523	36.07200478105894	36.048656055659386	36.04535087953205	36.019857403132534	35.982371956458415	35.99307300151897	35.977603383665645	35.98008655180827	35.95559550953308	35.93969828871079	35.968873612228705	35.95551869805965	35.935622890843405	35.91290441279129	35.900167127314866	35.88159761494332	35.81344659129658	35.84419283506169	35.77492995924949	35.73465376492458	35.93675170162419																																																																		
Mari.A_2	35.588671811610425	36.142049952652	36.13782848315911	36.16072067556659	36.196899476398926	36.301576554832266	36.190086705380416	36.22580702147196	36.28814985384772	36.22747999778153	36.1862489909022	36.15247238718133	36.123686940374384	36.09812206129152	36.07126391383768	36.05614360599106	36.033017025363065	36.011126442277	35.973422790262944	35.94857961850748	35.924560945748524	35.90806052869902	35.87750489980032	35.84937688653476	35.837779729978	35.80297938105129	35.79582627572718	35.75619082974656	35.75290388709925	35.72536052009569	35.72869726544026	35.698624232729046	35.6408143087641	35.58410720838648	35.56433486574532	35.493722150581235	35.40250206919095	35.68804758105678																																																																		
BozmansHoneybee.A_1	36.002689681593914	36.0784632751975	36.1920947524625	36.06454172469971	36.23498554798705	36.37114658982421	36.27496619289288	36.3004359858515	36.276603557703694	36.26748347216535	36.24857213139872	36.20812124034232	36.150724352652006	36.12747869415498	36.1070587900954	36.10070017272557	36.07101544589802	36.04793505558095	36.023022977113655	36.03145758323545	36.00596380975493	35.976437206715985	35.98570442105686	35.97516503655582	35.98454063740733	35.96059417219917	35.95385822658716	35.975905234353505	35.975736565108285	35.948669518979536	35.938256827130864	35.91844246482331	35.90757300517696	35.83765377569491	35.868258476090126	35.7916770560191	35.75216446963012	35.95385601127554																																																																		
BozmansHoneybee.A_2	35.92450146099972	36.11837910605836	36.11102838318428	36.14617582450301	36.13786484104406	36.27034373622385	36.1566524072392	36.18953358496711	36.269356132213765	36.19845236213268	36.15777255597123	36.1241970172779	36.09369564924583	36.06825540744084	36.03997617801335	36.02550267794171	36.00315960527231	35.98047729358843	35.942248153812685	35.92245566800794	35.89262071419951	35.88249000923716	35.85071468659519	35.82849885879825	35.81401210599689	35.783457305326394	35.77835417239455	35.74303532783372	35.742865566222626	35.71163267101598	35.7153955585948	35.68876135525743	35.63177612609689	35.57564186055957	35.5567538370216	35.48187827391384	35.391340854434006	35.67824090242134																																																																		
